start_location,end_location,distance_meters,duration_seconds,duration_minutes,num_steps,directions
academic block 1(ab1),lambda cluster,2149.8,386.9,6.4,10,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
academic block 1(ab1),mue cluster,2392.3,391.2,6.5,9,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
academic block 1(ab1),omega cluster,2388.1,389.1,6.5,9,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
academic block 1(ab1),nuzvid gate,242.6,63.2,1.1,3,Start heading right (111m) | Turn left (130m) | Arrive at your destination
academic block 1(ab1),sklm gate,2324.2,379.7,6.3,8,Start heading right (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (371m) | Arrive at your destination
academic block2(ab2),academic block 1(ab1),230.4,60.7,1.0,3,Start heading left (118m) | Turn left (111m) | Arrive at your destination
academic block2(ab2),academic block 3(ab3),33.1,7.9,0.1,2,Start heading right (33m) | Arrive at your destination
academic block2(ab2),I3 adminstrative block,230.4,60.7,1.0,3,Start heading left (118m) | Turn left (111m) | Arrive at your destination
academic block2(ab2),chancellor office,230.4,60.7,1.0,3,Start heading left (118m) | Turn left (111m) | Arrive at your destination
academic block2(ab2),p1 faculty block,230.4,60.7,1.0,3,Start heading left (118m) | Turn left (111m) | Arrive at your destination
academic block2(ab2),p2 faculty block,230.4,60.7,1.0,3,Start heading left (118m) | Turn left (111m) | Arrive at your destination
academic block2(ab2),p3 faculty block,1412.6,346.4,5.8,4,Start heading left (463m) | End of road left (261m) | End of road left (687m) | Arrive at your destination
academic block2(ab2),central library,172.7,41.5,0.7,2,Start heading right (172m) | Arrive at your destination
academic block2(ab2),sac,142.8,34.2,0.6,2,Start heading right (142m) | Arrive at your destination
academic block2(ab2),food court,1388.8,289.9,4.8,6,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (311m) | Arrive at your destination
academic block2(ab2),boys mess,1448.0,293.1,4.9,6,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (370m) | Arrive at your destination
academic block2(ab2),girls mess,1258.7,282.6,4.7,6,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (181m) | Arrive at your destination
academic block2(ab2),sbi,1248.6,282.1,4.7,6,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (171m) | Arrive at your destination
academic block2(ab2),nuzvid clinic,172.7,41.5,0.7,2,Start heading right (172m) | Arrive at your destination
academic block2(ab2),yoga shala,1311.7,285.6,4.8,6,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (234m) | Arrive at your destination
academic block2(ab2),k2 ground,1504.3,296.2,4.9,6,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (427m) | Arrive at your destination
academic block2(ab2),I1 boys hostel,1905.1,341.1,5.7,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (227m) | Arrive at your destination
academic block2(ab2),I2 boys hostel,1953.8,348.2,5.8,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (276m) | Arrive at your destination
academic block2(ab2),k2 girls hostel,1225.0,280.8,4.7,6,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (147m) | Arrive at your destination
academic block2(ab2),k3 girls hostel,2136.9,374.6,6.2,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (459m) | Arrive at your destination
academic block2(ab2),k4 girls hostel,2162.4,378.3,6.3,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (484m) | Arrive at your destination
academic block2(ab2),dh1&2,1964.8,349.8,5.8,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Arrive at your destination
academic block2(ab2),dh3,2005.4,355.6,5.9,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (327m) | Arrive at your destination
academic block2(ab2),dh4,2038.4,360.4,6.0,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (360m) | Arrive at your destination
academic block2(ab2),beta cluster,1837.0,331.4,5.5,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (159m) | Arrive at your destination
academic block2(ab2),eta cluster,1949.3,353.8,5.9,8,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
academic block2(ab2),gama cluster,1996.9,360.6,6.0,8,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
academic block2(ab2),kappa cluster,2144.5,381.3,6.4,8,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
academic block2(ab2),lambda cluster,2156.9,383.7,6.4,9,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
academic block2(ab2),mue cluster,2399.5,388.0,6.5,8,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
academic block2(ab2),omega cluster,2395.2,385.9,6.4,8,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
academic block2(ab2),nuzvid gate,249.7,60.0,1.0,2,Start heading left (249m) | Arrive at your destination
academic block2(ab2),sklm gate,2331.4,376.5,6.3,7,Start heading left (463m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (371m) | Arrive at your destination
academic block 3(ab3),academic block 1(ab1),263.5,68.6,1.1,3,Start heading left (151m) | Turn left (111m) | Arrive at your destination
academic block 3(ab3),academic block2(ab2),33.1,7.9,0.1,2,Start heading left (33m) | Arrive at your destination
academic block 3(ab3),I3 adminstrative block,263.5,68.6,1.1,3,Start heading left (151m) | Turn left (111m) | Arrive at your destination
academic block 3(ab3),chancellor office,263.5,68.6,1.1,3,Start heading left (151m) | Turn left (111m) | Arrive at your destination
academic block 3(ab3),p1 faculty block,263.5,68.6,1.1,3,Start heading left (151m) | Turn left (111m) | Arrive at your destination
academic block 3(ab3),p2 faculty block,263.5,68.6,1.1,3,Start heading left (151m) | Turn left (111m) | Arrive at your destination
academic block 3(ab3),p3 faculty block,1445.7,354.3,5.9,4,Start heading left (496m) | End of road left (261m) | End of road left (687m) | Arrive at your destination
academic block 3(ab3),central library,139.7,33.6,0.6,2,Start heading right (139m) | Arrive at your destination
academic block 3(ab3),sac,109.7,26.3,0.4,2,Start heading right (109m) | Arrive at your destination
academic block 3(ab3),food court,1421.9,297.8,5.0,6,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (311m) | Arrive at your destination
academic block 3(ab3),boys mess,1481.1,301.0,5.0,6,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (370m) | Arrive at your destination
academic block 3(ab3),girls mess,1291.8,290.5,4.8,6,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (181m) | Arrive at your destination
academic block 3(ab3),sbi,1281.7,290.0,4.8,6,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (171m) | Arrive at your destination
academic block 3(ab3),nuzvid clinic,139.7,33.6,0.6,2,Start heading right (139m) | Arrive at your destination
academic block 3(ab3),yoga shala,1344.8,293.5,4.9,6,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (234m) | Arrive at your destination
academic block 3(ab3),k2 ground,1537.3,304.1,5.1,6,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (427m) | Arrive at your destination
academic block 3(ab3),I1 boys hostel,1938.2,349.0,5.8,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (227m) | Arrive at your destination
academic block 3(ab3),I2 boys hostel,1986.8,356.1,5.9,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (276m) | Arrive at your destination
academic block 3(ab3),k2 girls hostel,1258.1,288.7,4.8,6,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (147m) | Arrive at your destination
academic block 3(ab3),k3 girls hostel,2170.0,382.5,6.4,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (459m) | Arrive at your destination
academic block 3(ab3),k4 girls hostel,2195.5,386.2,6.4,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (484m) | Arrive at your destination
academic block 3(ab3),dh1&2,1997.9,357.7,6.0,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Arrive at your destination
academic block 3(ab3),dh3,2038.5,363.5,6.1,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (327m) | Arrive at your destination
academic block 3(ab3),dh4,2071.4,368.3,6.1,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (360m) | Arrive at your destination
academic block 3(ab3),beta cluster,1870.1,339.3,5.7,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (159m) | Arrive at your destination
academic block 3(ab3),eta cluster,1982.4,361.7,6.0,8,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
academic block 3(ab3),gama cluster,2030.0,368.5,6.1,8,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
academic block 3(ab3),kappa cluster,2177.6,389.2,6.5,8,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
academic block 3(ab3),lambda cluster,2190.0,391.6,6.5,9,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
academic block 3(ab3),mue cluster,2432.6,395.9,6.6,8,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
academic block 3(ab3),omega cluster,2428.3,393.8,6.6,8,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
academic block 3(ab3),nuzvid gate,282.8,67.9,1.1,2,Start heading left (282m) | Arrive at your destination
academic block 3(ab3),sklm gate,2364.5,384.4,6.4,7,Start heading left (496m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (371m) | Arrive at your destination
I3 adminstrative block,academic block 1(ab1),0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
I3 adminstrative block,academic block2(ab2),230.4,57.4,1.0,3,Start heading straight (111m) | Turn right (118m) | Arrive at your destination
I3 adminstrative block,academic block 3(ab3),263.5,65.3,1.1,3,Start heading straight (111m) | Turn right (151m) | Arrive at your destination
I3 adminstrative block,chancellor office,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
I3 adminstrative block,p1 faculty block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
I3 adminstrative block,p2 faculty block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
I3 adminstrative block,p3 faculty block,1405.5,349.6,5.8,5,Start heading straight (111m) | Turn left (345m) | End of road left (261m) | End of road left (687m) | Arrive at your destination
I3 adminstrative block,central library,403.1,98.9,1.6,3,Start heading straight (111m) | Turn right (291m) | Arrive at your destination
I3 adminstrative block,sac,373.2,91.6,1.5,3,Start heading straight (111m) | Turn right (261m) | Arrive at your destination
I3 adminstrative block,food court,1381.7,293.1,4.9,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (311m) | Arrive at your destination
I3 adminstrative block,boys mess,1440.8,296.3,4.9,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (370m) | Arrive at your destination
I3 adminstrative block,girls mess,1251.5,285.8,4.8,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (181m) | Arrive at your destination
I3 adminstrative block,sbi,1241.4,285.3,4.8,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (171m) | Arrive at your destination
I3 adminstrative block,nuzvid clinic,403.1,98.9,1.6,3,Start heading straight (111m) | Turn right (291m) | Arrive at your destination
I3 adminstrative block,yoga shala,1304.5,288.8,4.8,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (234m) | Arrive at your destination
I3 adminstrative block,k2 ground,1497.1,299.4,5.0,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (427m) | Arrive at your destination
I3 adminstrative block,I1 boys hostel,1898.0,344.3,5.7,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (227m) | Arrive at your destination
I3 adminstrative block,I2 boys hostel,1946.6,351.4,5.9,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (276m) | Arrive at your destination
I3 adminstrative block,k2 girls hostel,1217.8,284.0,4.7,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (147m) | Arrive at your destination
I3 adminstrative block,k3 girls hostel,2129.7,377.8,6.3,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (459m) | Arrive at your destination
I3 adminstrative block,k4 girls hostel,2155.2,381.5,6.4,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (484m) | Arrive at your destination
I3 adminstrative block,dh1&2,1957.6,353.0,5.9,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Arrive at your destination
I3 adminstrative block,dh3,1998.2,358.8,6.0,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (327m) | Arrive at your destination
I3 adminstrative block,dh4,2031.2,363.6,6.1,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (360m) | Arrive at your destination
I3 adminstrative block,beta cluster,1829.8,334.6,5.6,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (159m) | Arrive at your destination
I3 adminstrative block,eta cluster,1942.2,357.0,6.0,9,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (57m) | Arrive at your destination
I3 adminstrative block,gama cluster,1989.8,363.8,6.1,9,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (105m) | Arrive at your destination
I3 adminstrative block,kappa cluster,2137.4,384.5,6.4,9,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (287m) | Turn left (179m) | Arrive at your destination
I3 adminstrative block,lambda cluster,2149.8,386.9,6.4,10,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (600m) | Turn right (213m) | Turn left (209m) | Turn right (55m) | Arrive at your destination
I3 adminstrative block,mue cluster,2392.3,391.2,6.5,9,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (317m) | Turn right (121m) | Arrive at your destination
I3 adminstrative block,omega cluster,2388.1,389.1,6.5,9,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (427m) | Turn right (7m) | Arrive at your destination
I3 adminstrative block,nuzvid gate,242.6,63.2,1.1,3,Start heading straight (111m) | Turn left (130m) | Arrive at your destination
I3 adminstrative block,sklm gate,2324.2,379.7,6.3,8,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (883m) | Turn right (371m) | Arrive at your destination
chancellor office,academic block 1(ab1),0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
chancellor office,academic block2(ab2),230.4,57.4,1.0,3,Start heading straight (111m) | Turn right (118m) | Arrive at your destination
chancellor office,academic block 3(ab3),263.5,65.3,1.1,3,Start heading straight (111m) | Turn right (151m) | Arrive at your destination
chancellor office,I3 adminstrative block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
chancellor office,p1 faculty block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
chancellor office,p2 faculty block,0.0,0.0,0.0,2,Start heading straight | Arrive at your destination
chancellor office,p3 faculty block,1405.5,349.6,5.8,5,Start heading straight (111m) | Turn left (345m) | End of road left (261m) | End of road left (687m) | Arrive at your destination
chancellor office,central library,403.1,98.9,1.6,3,Start heading straight (111m) | Turn right (291m) | Arrive at your destination
chancellor office,sac,373.2,91.6,1.5,3,Start heading straight (111m) | Turn right (261m) | Arrive at your destination
chancellor office,food court,1381.7,293.1,4.9,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (311m) | Arrive at your destination
chancellor office,boys mess,1440.8,296.3,4.9,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (370m) | Arrive at your destination
chancellor office,girls mess,1251.5,285.8,4.8,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (181m) | Arrive at your destination
chancellor office,sbi,1241.4,285.3,4.8,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (171m) | Arrive at your destination
chancellor office,nuzvid clinic,403.1,98.9,1.6,3,Start heading straight (111m) | Turn right (291m) | Arrive at your destination
chancellor office,yoga shala,1304.5,288.8,4.8,7,Start heading straight (111m) | Turn left (345m) | End of road left (69m) | Turn left (132m) | Turn left (411m) | Turn left onto Nuzividu - Mylavaram Road (234m) | Arrive at your destination
